[2025-03-29 17:08:10,281] INFO - Starting fold 1
[2025-03-29 17:08:10,281] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:12,719] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:13,865] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:18,527] INFO - Fold 1 Epoch 115: Train Loss 0.6010, Train Acc 0.6667, Train F1 0.6665
[2025-03-29 17:08:18,527] INFO - Fold 1 Epoch 115: Test Loss 0.6181, Test Acc 0.6000, Test F1 0.5835
[2025-03-29 17:08:18,706] INFO - Fold 1 Epoch 120: Train Loss 0.5947, Train Acc 0.6918, Train F1 0.6911
[2025-03-29 17:08:18,706] INFO - Fold 1 Epoch 120: Test Loss 0.6148, Test Acc 0.6286, Test F1 0.6239
[2025-03-29 17:08:18,868] INFO - Fold 1 Epoch 125: Train Loss 0.6355, Train Acc 0.6631, Train F1 0.6625
[2025-03-29 17:08:18,868] INFO - Fold 1 Epoch 125: Test Loss 0.7399, Test Acc 0.6000, Test F1 0.5835
[2025-03-29 17:08:19,034] INFO - Fold 1 Epoch 130: Train Loss 0.5900, Train Acc 0.6989, Train F1 0.6961
[2025-03-29 17:08:19,034] INFO - Fold 1 Epoch 130: Test Loss 0.6282, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:19,179] INFO - Fold 1 Epoch 135: Train Loss 0.5923, Train Acc 0.6989, Train F1 0.6961
[2025-03-29 17:08:19,180] INFO - Fold 1 Epoch 135: Test Loss 0.6064, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:19,330] INFO - Fold 1 Epoch 140: Train Loss 0.6180, Train Acc 0.6631, Train F1 0.6627
[2025-03-29 17:08:19,330] INFO - Fold 1 Epoch 140: Test Loss 0.6814, Test Acc 0.6000, Test F1 0.5835
[2025-03-29 17:08:19,480] INFO - Fold 1 Epoch 145: Train Loss 0.5888, Train Acc 0.7025, Train F1 0.6995
[2025-03-29 17:08:19,480] INFO - Fold 1 Epoch 145: Test Loss 0.6055, Test Acc 0.6571, Test F1 0.6549
[2025-03-29 17:08:19,630] INFO - Fold 1 Epoch 150: Train Loss 0.6028, Train Acc 0.6703, Train F1 0.6702
[2025-03-29 17:08:19,630] INFO - Fold 1 Epoch 150: Test Loss 0.6680, Test Acc 0.6000, Test F1 0.5881
[2025-03-29 17:08:19,783] INFO - Fold 1 Epoch 155: Train Loss 0.5893, Train Acc 0.6703, Train F1 0.6703
[2025-03-29 17:08:19,783] INFO - Fold 1 Epoch 155: Test Loss 0.6347, Test Acc 0.6000, Test F1 0.5881
[2025-03-29 17:08:19,934] INFO - Fold 1 Epoch 160: Train Loss 0.5777, Train Acc 0.6774, Train F1 0.6775
